,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,3,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,2,1,5,0
1,3,1,1,1,0,1,0,1,0,0,1,4,1,0,0,1,0,5,0,7,0
2,2,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,4,0,9,0
3,3,1,0,0,0,2,1,1,1,0,1,3,1,0,0,1,0,4,0,9,0
4,4,2,0,2,0,0,0,0,2,2,1,1,1,0,0,0,0,3,1,8,0
5,3,1,1,2,0,1,0,0,3,3,1,3,1,2,1,0,0,5,1,1,0
6,3,2,1,2,0,0,0,0,3,2,1,4,1,0,0,0,0,5,1,1,0
7,4,3,0,2,1,0,0,0,2,2,1,2,1,0,0,0,0,3,1,8,0
8,3,1,2,3,0,1,0,0,2,4,1,1,1,1,1,0,0,3,1,8,0
9,3,0,0,0,1,1,0,1,0,3,1,1,1,0,0,1,0,5,0,7,0
10,2,1,1,4,1,0,0,0,4,3,1,1,1,0,0,1,0,3,0,9,0
11,3,4,1,5,0,1,0,0,4,3,1,1,1,0,0,1,0,3,0,9,0
12,3,2,0,1,0,1,0,1,0,1,1,2,1,0,0,1,0,5,0,7,0
13,4,0,0,5,0,0,0,1,1,3,1,2,1,0,0,1,0,4,0,9,0
14,2,2,1,1,0,1,0,0,0,0,2,2,1,0,0,0,1,2,1,5,0
15,2,1,1,2,0,1,0,0,4,1,2,2,1,0,0,1,0,3,0,9,0
16,4,2,2,2,0,1,0,0,4,1,1,6,1,0,0,1,0,3,0,9,0
17,4,2,2,2,0,0,0,1,4,2,1,4,1,0,0,1,0,3,0,9,0
18,4,3,0,2,1,0,2,0,5,2,1,2,1,0,0,1,0,5,0,9,0
19,5,0,0,5,0,1,2,0,4,4,2,1,1,0,0,1,0,3,0,9,1
20,5,1,0,4,1,0,0,0,4,4,1,6,1,0,0,1,0,3,0,9,0
21,3,5,2,1,0,1,0,0,6,2,1,1,0,2,2,0,0,6,1,2,1
22,2,5,1,2,0,0,2,0,5,1,2,3,1,0,0,1,0,5,0,9,0
23,4,6,0,1,0,1,2,0,5,1,1,1,1,0,0,1,0,5,0,9,0
24,4,5,0,3,1,0,0,1,0,0,1,7,1,0,0,1,0,5,0,7,0
25,3,5,0,3,0,0,0,0,5,2,2,1,1,0,0,1,0,5,0,9,1
26,3,5,2,3,0,1,0,1,0,1,1,1,1,0,0,1,0,5,0,7,0
27,2,0,0,4,1,1,0,0,0,2,1,2,1,1,1,0,1,2,1,5,0
28,4,2,1,6,1,1,0,1,0,3,1,1,1,0,0,1,0,5,0,7,0
29,3,2,0,2,0,1,0,0,5,4,1,1,1,0,0,1,0,5,0,9,0
30,3,5,0,2,0,0,2,0,6,4,1,1,1,1,1,0,1,1,1,5,0
31,3,1,0,1,1,0,0,1,1,2,1,3,1,0,0,1,0,4,0,9,0
32,5,5,1,2,0,1,0,0,1,0,1,2,1,0,0,0,1,4,1,4,0
33,3,0,1,5,1,0,0,1,1,4,1,1,1,0,0,1,0,4,0,9,0
34,4,5,0,2,0,1,0,0,5,3,1,7,1,0,0,1,0,5,0,9,0
35,2,0,1,0,0,0,0,1,1,1,2,1,1,0,0,1,0,4,0,9,0
36,3,0,0,4,0,0,0,1,0,1,1,1,1,0,0,1,0,5,0,7,0
37,4,6,2,1,0,1,0,0,2,1,2,1,1,0,0,0,0,3,1,8,0
38,3,5,1,6,0,0,0,0,0,1,1,1,1,1,1,0,1,2,1,5,0
39,2,7,1,6,0,1,0,0,7,2,1,3,1,3,1,0,0,1,1,1,0
40,3,1,0,1,1,0,0,0,0,4,1,1,1,0,0,0,1,2,1,5,0
41,3,0,0,0,1,2,1,1,1,0,1,1,1,0,0,1,0,4,0,9,0
42,7,8,0,2,0,1,0,0,5,3,1,1,1,1,1,0,0,5,1,1,0
43,4,3,2,3,0,0,0,0,4,4,1,3,1,0,0,1,0,3,0,9,0
44,3,9,0,5,0,0,2,0,0,0,1,1,1,0,0,0,1,2,1,5,0
45,3,6,1,2,1,1,0,0,0,3,1,2,1,0,0,0,1,2,1,5,0
46,3,2,0,2,0,1,0,1,2,3,1,1,1,0,0,0,0,3,0,8,0
47,2,2,1,0,0,1,0,0,0,2,1,2,1,0,0,0,1,2,1,5,0
48,4,1,0,3,0,1,0,0,5,2,1,2,1,0,0,1,0,5,0,9,0
49,3,1,0,1,0,1,2,0,4,0,1,3,1,0,0,1,0,3,0,9,0
50,5,8,0,2,0,0,0,0,1,1,1,1,1,2,1,0,1,4,1,4,0
51,3,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,2,1,5,0
52,3,6,0,1,0,1,0,0,5,0,1,3,1,0,0,1,0,5,0,9,0
53,2,5,0,2,0,0,2,0,3,4,1,2,0,1,2,0,1,8,1,2,1
54,3,2,1,2,0,0,0,0,0,3,1,1,1,0,0,0,1,2,1,5,0
