,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit
0,0,1,0,0,5,0,0,4,1,0,4,0,6,0,0,2,0,1,0,0,1
1,1,6,1,0,31,1,1,2,0,0,2,0,2,0,0,1,0,1,1,0,0
2,2,1,0,1,10,1,2,2,1,0,3,0,4,0,0,1,1,2,1,0,1
3,0,5,1,2,42,1,2,2,1,1,4,1,4,0,1,1,0,2,1,0,1
4,0,3,2,3,25,1,1,3,1,0,4,2,5,0,1,2,0,2,1,0,0
5,2,4,1,1,48,0,1,2,1,0,4,2,3,0,1,1,1,2,0,0,1
6,2,3,1,2,14,2,0,3,1,0,4,1,5,0,0,1,0,1,1,0,1
7,1,4,1,4,37,1,1,2,1,0,2,3,3,0,2,1,2,1,0,0,1
8,2,1,1,0,16,3,2,2,1,0,4,0,6,0,0,1,1,1,1,0,1
9,1,4,0,3,27,1,3,4,1,0,2,3,2,0,0,2,2,1,1,0,0
10,1,1,1,3,6,1,4,3,0,0,1,3,2,0,2,1,0,1,1,0,0
11,0,6,1,5,22,1,4,3,0,0,4,1,2,0,2,1,0,1,1,0,0
12,1,1,1,0,8,1,1,1,0,0,1,3,2,0,0,1,0,1,0,0,1
13,0,3,0,3,6,1,0,4,1,0,4,3,6,0,0,2,1,1,1,0,0
14,0,2,1,3,7,1,1,2,0,0,4,3,2,0,2,1,0,1,1,0,1
15,0,3,1,0,6,4,1,4,0,0,2,3,3,0,0,1,1,1,1,0,0
16,2,3,0,0,12,0,0,4,1,0,4,1,5,0,0,2,0,1,1,0,1
17,0,4,3,5,43,0,4,2,1,0,3,3,2,1,0,3,0,1,1,0,1
18,1,3,1,4,67,1,0,4,0,0,2,2,4,0,1,1,2,1,0,0,0
19,2,3,1,0,18,2,0,3,1,0,2,3,3,0,0,1,0,2,0,0,1
20,2,1,0,3,11,1,1,4,1,0,4,3,4,0,0,3,0,1,0,0,1
21,0,1,1,0,13,2,1,2,1,0,3,0,4,0,2,1,0,2,1,0,1
22,0,1,0,3,11,1,4,1,1,0,3,0,4,0,2,2,1,2,1,1,1
23,1,1,0,4,9,4,4,3,1,0,4,1,4,0,0,1,0,1,1,0,1
24,2,1,0,2,10,0,1,2,1,0,1,3,2,0,0,2,0,1,1,1,1
25,0,1,1,2,7,1,1,1,1,0,2,0,3,1,0,1,1,1,0,0,1
26,2,1,3,0,1,1,0,4,1,0,4,3,3,0,0,1,1,1,1,0,1
27,3,1,4,0,1,3,1,3,0,0,3,0,4,0,2,2,0,1,1,0,1
28,1,1,1,0,12,1,1,3,1,1,2,0,3,0,0,1,0,1,1,0,1
29,0,7,2,5,36,1,0,3,1,0,4,2,6,0,0,2,0,1,0,0,0
30,1,2,1,5,9,3,4,3,1,0,3,0,3,1,0,1,0,1,0,0,1
31,0,3,1,2,21,1,1,2,1,0,2,3,2,2,0,1,0,1,1,0,1
32,1,2,1,3,31,4,1,2,1,0,2,3,3,0,0,2,0,1,0,0,1
33,2,1,0,5,6,0,0,4,1,0,4,2,5,0,2,1,1,1,1,0,1
34,3,1,1,2,7,1,4,4,0,0,1,1,3,1,0,1,2,1,0,0,1
35,1,5,0,0,25,1,4,4,1,0,2,1,2,0,0,2,1,1,1,0,0
36,2,6,0,1,32,1,1,1,1,0,3,2,3,1,1,1,0,1,0,0,1
37,3,2,1,0,10,1,1,4,1,2,2,0,3,2,0,1,0,1,1,0,0
38,3,1,1,6,6,1,1,2,1,0,2,3,3,0,0,1,0,1,0,0,1
39,1,1,1,0,2,1,1,4,1,0,3,0,2,0,0,1,0,1,1,0,1
40,2,4,1,0,12,2,0,4,1,0,2,3,3,1,0,1,2,1,1,0,1
41,1,1,1,0,5,2,1,3,1,0,1,3,2,0,0,1,0,1,0,0,1
42,1,2,2,7,33,1,1,2,1,0,4,0,4,0,0,1,1,2,0,0,1
43,0,4,0,4,33,4,2,1,1,0,4,3,2,0,2,2,0,1,1,0,1
44,0,6,0,4,32,1,0,4,0,0,4,2,5,2,1,2,1,1,1,0,0
45,2,1,0,3,7,1,4,4,0,0,4,3,3,0,0,2,2,1,1,0,1
46,2,4,1,0,12,2,0,4,1,0,4,3,3,0,0,1,0,1,1,0,1
47,0,1,1,4,6,2,3,1,0,0,2,1,2,0,2,1,3,1,0,0,1
48,2,1,0,3,38,1,1,1,1,0,4,1,3,0,0,2,1,1,1,0,1
49,2,1,1,0,10,4,1,4,0,2,2,0,2,0,0,1,0,1,1,0,1
50,1,3,2,2,12,0,4,4,1,0,2,1,2,1,0,1,1,1,1,0,1
51,1,3,2,4,31,1,0,1,1,0,2,3,3,0,0,2,2,1,0,0,1
52,2,1,1,0,6,1,1,3,1,0,2,3,2,0,0,1,0,1,1,0,1
53,2,2,1,4,17,0,1,2,1,0,1,1,3,0,0,1,0,1,0,0,1
54,1,4,2,3,11,1,0,4,1,0,4,2,5,1,1,2,0,1,0,0,0
55,2,1,4,3,3,0,1,1,1,1,2,0,2,2,0,1,1,2,1,0,1
56,1,1,1,0,34,0,3,2,1,0,1,2,5,0,0,1,2,1,0,0,0
57,2,4,0,0,51,1,1,2,0,0,2,3,3,2,0,2,0,1,1,0,1
58,3,2,1,3,10,1,0,3,0,0,2,3,2,0,0,1,2,1,1,0,1
59,0,4,0,2,33,1,4,4,0,2,4,2,2,0,2,2,1,1,0,0,0
60,1,1,1,5,7,1,1,2,1,0,1,0,2,1,0,1,0,1,0,0,1
61,1,2,0,0,7,0,0,4,1,1,4,0,5,0,0,2,0,1,0,0,1
62,1,4,3,5,10,1,0,4,1,0,4,2,6,0,1,1,2,1,0,0,0
63,1,6,3,5,77,1,1,2,1,0,2,3,2,0,0,1,0,1,0,0,0
64,2,3,1,0,16,1,4,4,0,0,4,1,2,0,0,1,0,1,0,0,1
65,2,3,1,7,27,0,0,4,1,0,4,1,4,0,0,4,0,2,0,0,1
66,2,1,1,0,11,1,4,2,0,0,2,3,2,1,0,1,0,1,1,0,1
67,1,1,1,3,5,3,1,4,1,0,1,0,2,0,0,1,0,1,1,0,1
68,2,4,1,1,9,1,1,4,1,0,4,2,3,2,1,1,0,1,0,0,0
69,2,4,1,0,12,0,1,4,0,0,4,3,2,0,0,1,0,1,1,0,1
70,2,4,1,4,43,1,1,1,0,0,2,1,3,1,0,1,0,1,1,0,1
71,2,1,0,0,3,0,0,4,1,0,2,1,4,0,2,2,1,1,0,0,1
72,0,1,0,8,5,1,0,3,1,0,4,2,5,1,1,2,2,2,0,0,1
73,1,5,0,5,31,1,2,2,0,0,1,0,4,1,0,2,1,1,1,0,1
74,0,4,1,1,10,0,0,4,1,0,4,2,4,0,0,1,2,1,0,0,0
75,0,1,0,4,7,1,0,4,1,0,4,2,6,0,1,2,2,1,1,0,1
76,0,5,1,0,21,1,4,4,1,0,3,3,3,0,0,1,0,1,1,0,0
77,1,1,2,0,25,1,2,2,1,0,4,1,5,0,0,1,0,1,1,0,1
